id,nome,periodo,horarios,requisitos,carga_horaria,professor
1,Lógica de Programação,1° Período,2IJKL 3IJKL,,100,Walisson Ferreira
2,Cálculo I,1° Período,2BC 4BCDE,,80,Marcus Fabius Bonnet
3,Lógica Matemática,1° Período,3BCDE 4IJ,,80,Hudson Costa
4,Introdução à Ciência da Computação,1° Período,5BCDE,,60,Eder Jacques
5,Inglês,1° Período,,,60,

6,Matemática Discreta,2° Período,2DE 5BCDE,3,80,Hudson Costa
7,Circuitos Digitais,2° Período,4BCDE,3,60,Walisson Ferreira
8,Linguagens de Programação 1,2° Período,3BCDE,1,60,Jose Alex
9,Laboratório de Programação,2° Período,5IJKL,1,60,Paulo Regis
10,Cálculo II,2° Período,3IJKL 4IJ,2,80,Rosangela Marques
11,Álgebra Linear,2° Período,2NOPQ,,60,Francisco Raimundo

12,Introdução à Estatística,3° Período,5NOPQ,,60,Francisco Raimundo
13,Arquitetura de Computadores,3° Período,2BCDE,7,80,Walisson Ferreira
14,Estrutura de Dados,3° Período,3IJKL 6BCDE,"8,9",100,Paulo Regis
15,Cálculo Numérico,3° Período,2IJKL,"11,10,9",60,Rosangela Marques
16,Física,3° Período,2PQ 4NOPQ,,80,Calebe de Andrade Alves

17,Estatistica com Apoio Computacional,4° Período,4BCDE,12,60,Paulo Regis
18,Banco de Dados I,4° Período,3NO 4NOPQ,14,80,Placido Marinho
19,Algoritmos para Grafos,4° Período,2BCDE,"6,14",60,Jose Alex
20,Programação Orientada a Objetos,4° Período,2NOPQ 4KLM,14,100,Placido Marinho
21,Tecnologias da Informação,4° Período,3NOPQ,4,60,Marcio de Vasconcelos
22,Metodologia do Trabalho Científico,4° Período,2NOPQ,,60,Lourival Gerardo

23,Construção e Análise de Algoritmos,5° Período,2NOPQ 4IJKL,19,80,Claudio Soares
24,Engenharia de Software,5° Período,2IJKL,18,60,Thales Damasceno
25,Banco de Dados II,5° Período,3JK 4BCDE,"18,20",80,Lorena Pereira
26,Computação Gráfica,5° Período,5BCDE,"20,11",60,Gilzamir Ferreira

27,Linguagens Formais e Automatos,6° Período,2IJKL 4NOPQ,6,80,Claudio Soares
28,Sistemas Operacionais,6° Período,2NOPQ 3NO,13,80,Walisson Ferreira
29,Análise e Projeto de Sistemas,6° Período,6IJKL,24,60,Thales Damasceno
30,Redes de Computadores,6° Período,3PQ 5NOPQ,"16,13",80,Lourival Gerardo

31,Inteligência Artificial,7° Período,4IJK 5IJK,"3,8",80,Gilzamir Ferreira
32,Compiladores,7° Período,3HIJ 4LMN,"27,9",80,Eder Jacques
33,Sistemas Distribuídos,7° Período,4NOPQ,"28,30",60,Lourival Gerardo
34,Computação e Sociedade,7° Período,4BCDE,,60,Marcio de Vasconcelos

35,Administração de Sistemas e Serviços,8° Período,3BCDE,,60,Marcio de Vasconcelos
36,Laboratório de Desenvolvimento de Software,8° Período,2NOPQ,"25,29",60,Thales Damasceno
37,Projeto de Conclusão de Curso TCC,8° Período,3FH 5FH,"15,25,23,31,33",60,Lorena Pereira

38,Tópicos Avançados em Banco de Dados,Optativa,2NOPQ," 25",60,Lorena Pereira
39,Matemática Comercial e Financeira,Optativa,4IJKL,,60,Jose Hamilton
41,Metaheuristicas,Optativa,4BCDE,23,60,Gilzamir Ferreira
42,Estágio Supervisionado,Optativa,4IJKL,,60,Thales Damasceno
43,Empreendedorismo,Optativa,3IJKL,,60,Raimundo Inacio
44,Introdução a Administração,Optativa,4NOPQ,,60,Marcio de Vasconcelos
45,Introdução às Telecomunicações,Optativa,3NOPQ,,60,Francisco Raimundo
46,Introducao a Ciencia de Dados,Optativa,3IJ 5IJ,,60,Hudson Costa
47,Optativa Eletiva 1,Optativa,,,60,Qualquer um
48,Optativa Eletiva 2,Optativa,,,60,Qualquer um
49,Linguagem de Programacao II,Optativa,,8,60,
50,Introducao a Economia,Optativa,,,60,
51,Redes Neurais Artificiais,Optativa,,"11,17",60,
52,Informatica na Educacao,Optativa,,,60,
53,Processamento Digital de Imagens,Optativa,,"10,17,16",60,
54,Contabilidade Geral,Optativa,,,60,
55,Governanca de Ti,Optativa,,,60,
56,Gerenciamento de Redes de Computadores,Optativa,,30,60,
57,Direito e Legislacao,Optativa,,,60,
58,Desenvolvimento de Jogos,Optativa,,"10,13,16,26",60,
59,Teoria dos Grafos,Optativa,,6,60,
60,Computacao Algebrica,Optativa,,2,60,
61,Desafios de Programacao,Optativa,,,60,
62,Topicos Avancados em Engenharia de Software,Optativa,,24,60,
63,Programacao Linear,Optativa,,11,60,
64,Hardware Basico,Optativa,,,60,
65,Gerencia de Projetos,Optativa,,,60,
66,Linguagem de Programacao III,Optativa,,49,60,

67,Trabalho de Conclusão de Curso TCC,9° Período,2FH 6FH,37,60,Lorena Pereira
