id,nome,periodo,horarios,requisitos
1,Lógica de Programação,1° Período,Segunda 14:00-17:30;Terça 14:00-17:30,
2,Cálculo I,1° Período,Segunda 08:00-09:40;Quarta 08:00-11:30,
3,Lógica Matemática,1° Período,Terça 08:00-11:30;Quarta 14:00-15:40,
4,Introdução à Ciência da Computação,1° Período,Quinta 08:00-11:30,
5,Inglês,1° Período,Sexta 08:00-11:30,
6,Matemática Discreta,2° Período,Segunda 09:50-11:30;Quinta 08:00-11:30,3
7,Circuitos Digitais,2° Período,Quarta 08:00-11:30,3
8,Linguagens de Programação 1,2° Período,Terça 08:00-11:30,1
9,Laboratório de Programação,2° Período,Quinta 14:00-17:30,1
10,Cálculo II,2° Período,Segunda 14:00-17:30;Segunda 18:30-20:10,2
11,Álgebra Linear,2° Período,Terça 18:30-22:00,
12,Introdução à Estatística,3° Período,Quinta 18:30-22:00,
13,Arquitetura de Computadores,3° Período,Segunda 08:00-11:30,7
14,Estrutura de Dados,3° Período,Terça 14:00-17:30;Sexta 08:00-11:30,"8,9"
15,Cálculo Numérico,3° Período,Quinta 14:00-17:30,"11,10,9"
16,Física,3° Período,Terça 20:20-22:00;Quarta 18:30-22:00,
17,Estatística Computacional,4° Período,Quarta 08:00-11:30,12
18,Banco de Dados I,4° Período,Terça 18:30-20:10;Quarta 18:30-22:00,14
19,Algoritmos para Grafos,4° Período,Segunda 08:00-11:30,"6,14"
20,Programação Orientada a Objetos,4° Período,Segunda 18:30-22:00;Quarta 15:50-18:20,14
21,Tecnologias da Informação,4° Período,Terça 18:30-22:00,4
22,Metodologia do Trabalho Científico,4° Período,Segunda 18:30-22:00,
23,Construção e Análise de Algoritmos,5° Período,Terça 08:00-11:30;Quinta 14:00-15:40,19
24,Engenharia de Software,5° Período,Segunda 14:00-17:30,18
25,Banco de Dados II,5° Período,Terça 14:50-16:40;Quarta 08:00-11:30,"18,20"
26,Computação Gráfica,5° Período,Quinta 08:00-11:30,"20,11"
27,Autômatos,6° Período,Quarta 14:00-17:30;Quinta 15:50-17:30,6
28,Sistemas Operacionais,6° Período,Segunda 18:30-22:00;Terça 18:30-20:10,13
29,Análise e Projeto de Sistemas,6° Período,Sexta 14:00-17:30,24
30,Redes de Computadores,6° Período,Terça 20:20-22:00;Quinta 18:30-22:00,"16,13"
31,Inteligência Artificial,7° Período,Quarta 14:00-16:40;Quinta 14:00-16:40,"3,8"
32,Compiladores,7° Período,Terça 14:00-17:30;Terça 18:30-20:10,"27,9"
33,Sistemas Distribuídos,7° Período,Quarta 18:30-22:00,"28,30"
34,Computação e Sociedade,7° Período,Quarta 08:00-11:30,
35,Administração de Sistemas e Serviços,8° Período,Terça 08:00-11:30,
36,Laboratório de Desenvolvimento de Software,8° Período,Segunda 18:30-22:00,"25,29"
37,Projeto de Conclusão de Curso TCC,8° Período,,"15,25,23,31,33"
